Chinese,Pinyin,English,Book,Lesson,Section
賺,zhuàn,(V) to earn,3,4,1
而,ér,"(Adv) on the other hand, rather,",3,4,1
交,jiāo,(V) to make (friends),3,4,1
理想,lǐxiǎng,"(N) ideals, aspirations",3,4,1
剛剛,gānggang,(Adv) just now,3,4,1
改天,gǎitiān,(Adv) some other day,3,4,1
無聊,wúliáo,"(Vs) boring, dull",3,4,1
東區,dōngqū,(N) the East District (of Taipei),3,4,1
煙火,yānhuǒ,(N) fireworks,3,4,1
跨年,kuànián,(Vi) welcome in the (solar) New Year (lit. span years) the,3,4,1
種類,zhǒnglèi,"(N) type, category",3,4,1
價錢,jiàqián,(N) price,3,4,1
感覺,gǎnjué,(N) feeling; a feeling of,3,4,1
雞排,jīpái,(N) chicken fillet,3,4,1
口,kǒu,(M) mouthful,3,4,1
紅茶,hóngchá,(N) black tea (lit. red tea),3,4,1
平溪,Píngxī,"Pingxi, a town in northern Taiwan",3,4,1
元宵節,Yuánxiāo jié,the Lantern Festival (15th day of the 1st month),3,4,1
孔廟,Kǒngmiào,Confucian Temple,3,4,1
校外教學,xiàowài jiāoxué,"field trip, class excursion",3,4,1
碰到,pèngdào,to run into,3,4,1
水煎包,shuǐjiān bāo,pan-fried pork bun,3,4,1
同事,tóngshì,"(N) colleague, coworker",3,4,2
美食,měishí,"(N) delicacies, delicious foods",3,4,2
上,shàng,(V) to go up to,3,4,2
泡,pào,"(V) to steep (tea) / to soak oneself in, i.e., to in bath",3,4,2
錯過,cuòguò,(Vpt) to miss (an opportunity),3,4,2
營業,yíngyè,"(Vi) to open for business, in operation (businesses)",3,4,2
夜景,yèjǐng,(N) night view,3,4,2
古老,gǔlǎo,"(Vs) ancient, antiquated",3,4,2
古蹟,gǔjī,(N) historical site,3,4,2
重視,zhòngshì,"(Vst) to place emphasis on, to lay stress on, to value",3,4,2
歷史,lìshǐ,(N) history,3,4,2
風俗,fēngsú,(N) customs,3,4,2
習慣,xíguàn,(N) habit,3,4,2
道地,dàodì,(Vs) authentic,3,4,2
粥,zhōu,"(N) congee, watery rice",3,4,2
講究,jiǎngjiù,"(Vst) to be discriminating in, to be discerning, meticulous",3,4,2
頓,dùn,(M) measure word for the duration of a meal,3,4,2
速度,sùdù,(N) speed,3,4,2
窄,zhǎi,(Vs) narrow,3,4,2
街道,jiēdào,(N) street,3,4,2
蓋,gài,"(V) to build, to erect",3,4,2
待,dāi,"(Vi) to stay, to remain",3,4,2
欣賞,xīnshǎng,"(V) to appreciate, to enjoy",3,4,2
美麗,měilì,(Vs) beautiful,3,4,2
鈴木,Língmù,Japanese last name: Lingmu (Japanese: Suzuki),3,4,2
赤崁樓,Chìkǎn lóu,"Chihkan Tower, a.k.a. Fort Provintia built by the Dutch, in Tainan, in the 17th (stronghold century)",3,4,2
留下來,liú xià lái,to leave behind,3,4,2
木造,mùzào,wooden; made from wood,3,4,2
非去不可,fēiqù bùkě,Visiting (it) is a must!!,3,4,2
流行,liúxíng,(Vst) popular,3,5,1
唉,āi,(Ptc) Oh no! Oh boy!,3,5,1
演唱會,yǎnchànghuì,(N) concert,3,5,1
塞車,sāichē,"(Vs) net congestion, jam",3,5,1
上線,shàngxiàn,"(V-sep) to log in, go online",3,5,1
成功,chénggōng,(Vp) to succeed,3,5,1
倒楣,dǎoméi,"(Vs) out of luck, down on one's luck",3,5,1
樂團,yuètuán,(N) (music) band,3,5,1
唱,chàng,(V) to sing,3,5,1
興奮,xīngfèn,(Vs) excited,3,5,1
迷,mí,"(Vst) to be enamored with, be into, be enchanted by, be obsessed with",3,5,1
歌詞,gēcí,(N) lyrics,3,5,1
難過,nánguò,(Vs) sad,3,5,1
不如,bùrú,(Vst) inferior to,3,5,1
現場,xiànchǎng,(N) live; lit. on-site,3,5,1
跳,tiào,(Vi) to jump,3,5,1
整,zhěng,"(Det) entire, whole",3,5,1
震動,zhèndòng,"(Vi) to vibrate, to shake",3,5,1
漫畫,mànhuà,(N) comics,3,5,1
內容,nèiróng,(N) content,3,5,1
色情,sèqíng,(Vs) pornographic; obscene,3,5,1
放鬆,fàngsōng,(Vst) to relax,3,5,1
心情,xīnqíng,(N) mood,3,5,1
五月天,Wǔyuètiān,Mayday (name of a Taiwanese rock band),3,5,1
算了,suàn le,forget it; let it be!,3,5,1
受歡迎,shòu huānyíng,well-received; well-liked; popular,3,5,1
擠滿,jǐmǎn,"crowded with, packed with",3,5,1
租書店,zūshū diàn,book rental store,3,5,1
平板電腦,píngbǎn diànnǎo,tablet computer,3,5,1
智慧型手機,zhìhuìxíng shǒujī,smartphone,3,5,1
殺時間,shā shíjiān,to kill time,3,5,1
漫畫展,mànhuà zhǎn,comic (book) exhibition,3,5,1
來不及,lái bù jí,"not be in time for, not make it on time",3,5,1
撞衫,zhuàngshān,"(Vs) ""wardrobe clash"", more than one person unintentionally wearing duplicate garments",3,5,2
它,tā,(N) it,3,5,2
塞,sāi,"(V) to stuff, cram, squeeze (into)",3,5,2
當季,dāngjì,(N) in season,3,5,2
款式,kuǎnshì,(N) style (of clothes),3,5,2
連續劇,liánxùjù,(N) TV series,3,5,2
主角,zhǔjiǎo,"(N) leading role, leading actor",3,5,2
甜美,tiánměi,"(Vs) sweet and cute, lovely",3,5,2
寄,jì,(V) to mail,3,5,2
居然,jūrán,"(Adv) unexpectedly, counter to assumption",3,5,2
害,hài,(V) adversely impacting somebody so that they,3,5,2
既然,jìrán,"(Conj) since, given that",3,5,2
服裝,fúzhuāng,"(N) clothing, garments",3,5,2
媒體,méitǐ,(N) the media,3,5,2
方式,fāngshì,"(N) method, ways",3,5,2
吸引,xīyǐn,"(Vst) to attract, to draw",3,5,2
避免,bìmiǎn,(V) to avoid,3,5,2
包包,bāobāo,"(N) bag, purse",3,5,2
商人,shāngrén,(N) businessperson,3,5,2
產品,chǎnpǐn,(N) product,3,5,2
電子,diànzǐ,(N) electronics,3,5,2
市場,shìchǎng,(N) market,3,5,2
新型,xīnxíng,(Vs-attr) new style,3,5,2
落伍,luòwǔ,"(Vs) behind the times, passé, oldfashioned",3,5,2
知音,zhīyīn,"(N) bosom buddy, confidant",3,5,2
想像,xiǎngxiàng,(V) to imagine,3,5,2
喇叭褲,lǎbākù,(N) bell-bottom pants,3,5,2
印象,yìnxiàng,(N) impression,3,5,2
遊戲,yóuxì,(N) game,3,5,2
化妝,huàzhuāng,"(V-sep) to apply cosmetics, to make up",3,5,2
一模一樣,yìmó yíyàng,identical,3,5,2
淺藍色,qiǎn lánsè,light blue,3,5,2
脫掉,tuōdiào,to take off (clothing),3,5,2
小題大作,xiǎotí dàzuò,"· to make a mountain out of a molehill, to make a big deal of nothing",3,5,2
推出,tuīchū,"to introduce, to roll out (products)",3,5,2
李文彥,Lǐ Wényàn,an American-born Chinese,3,6,1
表哥,biǎogē,"(N) cousin (older male cousin, from a female lineage)",3,6,1
隨便,suíbiàn,"(Adv) as one pleases oneself, to act freely",3,6,1
種,zhòng,(V) to grow (plants),3,6,1
蔬菜,shūcài,(N) vegetable,3,6,1
農夫,nóngfū,(N) farmer,3,6,1
減少,jiǎnshǎo,"(V) to reduce, to decrease",3,6,1
農藥,nóngyào,(N) pesticide,3,6,1
天然,tiānrán,(Vs-attr) natural,3,6,1
堆肥,duīféi,(N) compost,3,6,1
辛苦,xīnkǔ,"(Vs) tough, hard, bitter (life, work, etc.)",3,6,1
地位,dìwèi,"(N) position, status",3,6,1
收入,shōurù,(N) income,3,6,1
利潤,lìrùn,(N) profit,3,6,1
屋子,wūzi,(N) house,3,6,1
番茄,fānqié,(N) tomato,3,6,1
品種,pǐnzhǒng,"(N) variety, species",3,6,1
氣候,qìhòu,(N) climate,3,6,1
長,zhǎng,(Vi) to grow,3,6,1
熟,shóu,"(Vp) to be ripe, to ripen",3,6,1
片,piàn,"(M) measure word for a stretch, swath (of land)",3,6,1
田,tián,"(N) field, plot of land, paddy",3,6,1
照顧,zhàogù,(V) to take care of,3,6,1
敢,gǎn,(Vaux) to dare,3,6,1
