Chinese,Pinyin,English,Book,Lesson,Section
陳月美,Chén Yuèměi,a woman from Vietnam,1,1,1
李明華,Lǐ Mínghuá,a man from Taiwan,1,1,1
王開文,Wáng Kāiwén,a man from the US,1,1,1
你,nǐ,(N) you,1,1,1
來,lái,(V) to come,1,1,1
是,shì,(Vst) to be,1,1,1
小姐,xiǎojiě,"(N) Miss, Ms",1,1,1
嗎,ma,(Ptc) sentence final particle,1,1,1
接,jiē,(V) to pick sb up,1,1,1
我們,wǒmen,"(N) we, us",1,1,1
我,wǒ,"(N) I, me",1,1,1
這,zhè,(Det) this,1,1,1
先生,xiānshēng,(N) Mr,1,1,1
好,hǎo,"(Vs) fine, well",1,1,1
姓,xìng,(Vst) to be surnamed,1,1,1
叫,jiào,"(Vst) to be called, i.e., to have the first name xx",1,1,1
你們,nǐmen,(N) you (plural),1,1,1
臺灣/台灣,Táiwān,Taiwan,1,1,1
歡迎,huānyíng,welcome,1,1,1
請問,qǐngwèn,"May I ask you... Excuse me,",1,1,1
是的,shìde,,1,1,1
謝謝,xièxie,Thank you,1,1,1
不客氣,búkèqì,You're welcome,1,1,1
你好,Nǐ hǎo,How are you? Hello,1,1,1
請,qǐng,(V) please,1,1,2
喝,hē,(V) to drink,1,1,2
茶,chá,(N) tea,1,1,2
很,hěn,(Adv) very,1,1,2
好喝,hǎohē,(Vs) (lit. good to drink) to taste good,1,1,2
什麼,shénme,(N) what,1,1,2
人,rén,"(N) person, people",1,1,2
喜歡,xǐhuān,(Vst) to like,1,1,2
呢,ne,(Ptc) sentence final particle,1,1,2
他,tā,"(N) he, him",1,1,2
不,bù,(Adv) not,1,1,2
哪,nǎ,(Det) which,1,1,2
要,yào,(Vaux) to want to,1,1,2
咖啡,kāfēi,(N) coffee,1,1,2
烏龍茶,Wūlóngchá,Oolong tea,1,1,2
日本,Rìběn,Japan,1,1,2
美國,Měiguó,America,1,1,2
對不起,duìbùqǐ,I am sorry,1,1,2
哪國,nǎguó,Which country?,1,1,2
張怡君,Zhāng Yíjūn,a woman from Taiwan,1,2,1
馬安同,Mǎ āntóng,a man from the Republic of Honduras,1,2,1
的,de,(Ptc ) modification marker,1,2,1
家人,jiārén,(N) family (members),1,2,1
家,jiā,"(N) home, house",1,2,1
漂亮,piàoliàng,(Vs) pretty,1,2,1
房子,fángzi,(N) house,1,2,1
坐,zuò,(Vi) to sit,1,2,1
好,hǎo,(Ptc) OK,1,2,1
有,yǒu,(Vst) to have,1,2,1
多,duō,(Vs-pred) many,1,2,1
照片,zhàopiàn,(N) photo,1,2,1
都,dōu,"(Adv) all, both",1,2,1
照相,zhàoxiàng,(V-sep) to take a photo,1,2,1
張,zhāng,"(M) measure word for flat objects (e.g., paper,",1,2,1
好看,hǎokàn,(Vs) good-looking,1,2,1
誰,shéi,(N) who,1,2,1
姐姐,jiějie,(N) older sister,1,2,1
妹妹,mèimei,(N) younger sister,1,2,1
爸爸,bàba,(N) dad,1,2,1
媽媽,māma,(N) mom,1,2,1
請進,qǐng jìn,Please come in!,1,2,1
田中誠一,Tiánzhōng Chéngyī,(a Japanese name (male)),1,2,2
伯母,bómǔ,(N) aunt; here a polite term for a friends' mothers regardless of,1,2,2
您,nín,(N) you (honorific),1,2,2
名字,Míngzi,(N) name,1,2,2
書,shū,(N) book,1,2,2
哥哥,gēge,(N) older brother,1,2,2
老師,lǎoshī,(N) teacher,1,2,2
看書,kànshū,(V-sep) to read,1,2,2
幾,jǐ,(N) how many,1,2,2
個,ge,(M) general measure word,1,2,2
沒,méi,(Adv) not,1,2,2
兄弟,xiōngdì,(N) brothers,1,2,2
姐妹,jiěmèi,(N) sisters,1,2,2
五,wǔ,(N) five,1,2,2
兩,liǎng,(N) two,1,2,2
週末,zhōumò,(N) weekend,1,3,1
聽,tīng,(V) to listen,1,3,1
音樂,yīnyuè,(N) music,1,3,1
運動,yùndòng,(Vi) to exercise,1,3,1
打,dǎ,(V) to play (ball games),1,3,1
網球,wǎngqiú,(N) tennis,1,3,1
棒球,bàngqiú,(N) baseball,1,3,1
和,hàn,"(Conj) and, as well as",1,3,1
游泳,yóuyǒng,(V-sep) to swim,1,3,1
常,cháng,(Adv) often,1,3,1
籃球,lánqiú,(N) basketball,1,3,1
也,yě,(Adv) also,1,3,1
踢,tī,(V) to kick,1,3,1
足球,zúqiú,(N) soccer,1,3,1
覺得,juéde,"(Vst) to feel, to think",1,3,1
好玩,hǎowán,"(Vs) Interesting, fun",1,3,1
明天,míngtiān,(N) tomorrow,1,3,1
早上,zǎoshàng,(N) morning,1,3,1
去,qù,(V) to go,1,3,1
怎麼樣,zěnmeyàng,(Vs) How about it? How does that sounds? What do you think?,1,3,1
啊,a,(Ptc) sentence-final particle,1,3,1
做什麼,zuò shénme,do what,1,3,1
好啊,hǎoa,OK,1,3,1
白如玉,Bái Rúyù,a woman from the US,1,3,2
今天,jīntiān,(N) today,1,3,2
晚上,wǎnshàng,"(N) evening, night",1,3,2
看,kàn,"(V) to see, to watch",1,3,2
電影,diànyǐng,(N) movie,1,3,2
妳,nǐ,(N) you (female),1,3,2
想,xiǎng,"(Vaux) to want, to think",1,3,2
還是,háishì,(Conj) or (used in a question),1,3,2
吧,ba,(Ptc) sentence-final particle for suggestion,1,3,2
可以,kěyǐ,(Vaux) could (possibility),1,3,2
學,xué,"(V) to learn, to study",1,3,2
中文,Zhōngwén,(N) Chinese language,1,3,2
一起,yìqǐ,(Adv) together,1,3,2
吃,chī,(V) to eat,1,3,2
晚飯,wǎnfàn,(N) dinner,1,3,2
菜,cài,(N) cuisine,1,3,2
越南,Yuènán,Vietna m,1,3,2
好不好,hǎobùhǎo,How about...? How does that sound?,1,3,2
一共,yígòng,(Adv) altogether,1,4,1
多少,duōshǎo,"(N) how much, how many",1,4,1
錢,qián,(N) money,1,4,1
老闆,lǎobǎn,"(N) store-owner, boss",1,4,1
買,mǎi,(V) to buy,1,4,1
杯,bēi,(M) cup,1,4,1
熱,rè,(Vs) hot,1,4,1
包子,bāozi,(N) steamed buns with meat stuffing filling,1,4,1
要,yào,"(V) to want, to need",1,4,1
大,dà,(Vs) large,1,4,1
中,zhōng,(Vs-attr) medium,1,4,1
小,xiǎo,(Vs) small,1,4,1
幫,bāng,(Prep) for,1,4,1
微波,wéibō,(V) to microwave,1,4,1
百,bǎi,(N) hundred,1,4,1
塊,kuài,(M) measure word for Chinese money,1,4,1
好的,hǎode,OK,1,4,1
外帶,wàidài,"take out, to go",1,4,1
內用,nèiyòng,for here,1,4,1
支,zhī,(M) measure word for cell phones,1,4,2
新,xīn,(Vs) new,1,4,2
手機,shǒujī,(N) cell phone,1,4,2
太,tài,(Adv) too,1,4,2
舊,jiù,(Vs) old,1,4,2
了,le,(Ptc) sentence-final particle indicating the speaker's sense of certainty,1,4,2
種,zhǒng,"(M) kind, type",1,4,2
能,néng,"(Vaux) can, be able to",1,4,2
上網,shàngwǎng,"(V-sep) to access the internet, to use the internet",1,4,2
那,nà,(Det) that,1,4,2
貴,guì,(Vs) expensive,1,4,2
賣,mài,(V) to sell,1,4,2
便宜,piányí,"(Vs) cheap, inexpensive",1,4,2
要,yào,"(Vst) to take, to require",1,4,2
萬,wàn,(N) ten thousand,1,4,2
千,qiān,thousand,1,4,2
為什麼,wèishénme,why,1,4,2
牛肉,niúròu,(N) beef,1,5,1
麵,miàn,(N) noodles,1,5,1
真,zhēn,(Adv) really,1,5,1
好吃,hǎochī,(Vs) delicious,1,5,1
說,shuō,(V) say,1,5,1
少,shǎo,(Vs-pred) few in number,1,5,1
有名,yǒumíng,"(Vs) well known, famous",1,5,1
小吃,xiǎochī,"(N) light repeat, snack",1,5,1
最,zuì,(Adv) most,1,5,1
湯,tāng,"(N) soup, broth",1,5,1
這麼,zhème,(Adv) so,1,5,1
知道,zhīdào,(Vst) to know,1,5,1
家,jiā,"(M) measure word for restaurants, shops, etc",1,5,1
店,diàn,"(N) shop, store",1,5,1
一定,yídìng,"(Adv) really must, definitely",1,5,1
點,diǎn,(V) to order (meals),1,5,1
碗,wǎn,(M) a bowl of,1,5,1
是啊,shìa,That's right,1,5,1
小籠包,xiǎolóngbāo,"xiaolongbao, e.g., small meat and cabbage-filled steamed buns",1,5,1
臭豆腐,chòu dòufǔ,stinky tofu (fermented tofu),1,5,1
太好了,tài hǎo le,Excellent. Great,1,5,1
昨天,zuótiān,(N) yesterday,1,5,2
餐廳,cāntīng,(N) restaurant,1,5,2
可是,kěshì,"(Conj) but, however",1,5,2
辣,là,(Vs) hot (spicy),1,5,2
怕,pà,"(Vst) (here) to not like, to fear",1,5,2
所以,suǒyǐ,"(Conj) therefore, so",1,5,2
自己,zìjǐ,(N) self,1,5,2
做飯,zuòfàn,(V-sep) to cook,1,5,2
得,de,(Ptc) complement marker,1,5,2
會,huì,"(Vaux) to be able to, can",1,5,2
甜點,tiándiǎn,(N) dessert,1,5,2
不錯,búcuò,(Vs) not bad,1,5,2
可以,kěyǐ,(Vaux) could (possibility),1,5,2
教,jiāo,(V) to teach,1,5,2
到,dào,(Prep) to,1,5,2
有一點,yǒu yì diǎn,a little,1,5,2
不好,bù hǎo,not well,1,5,2
他們,tāmen,(N) they (used for people only),1,6,1
學校,xuéxiào,(N) school,1,6,1
在,zài,(Vst) to be located at,1,6,1
山上,shānshàng,"(N) on a mountain, in the mountains",1,6,1
哪裡,nǎlǐ,(N) where,1,6,1
遠,yuǎn,(Vs) far,1,6,1
那裡,nàlǐ,"(N) that place, there",1,6,1
風景,fēngjǐng,"(N) scenery, landscapes",1,6,1
美,měi,(Vs) beautiful,1,6,1
前面,qiánmiàn,(N) front,1,6,1
海,hǎi,(N) ocean,1,6,1
後面,hòumiàn,(N) back,1,6,1
山,shān,(N) mountain,1,6,1
真的,zhēn de,"(Adv) really, truly",1,6,1
地方,dìfāng,(N) place,1,6,1
現在,xiànzài,(N) now,1,6,1
附近,fùjìn,"(N) vicinity, near",1,6,1
樓下,lóuxià,(N) downstairs,1,6,1
找,zhǎo,"(V) to meet, to see",1,6,1
朋友,péngyǒu,(N) friend,1,6,1
上課,shàngkè,(V-sep) to go to class,1,6,1
花蓮,Huālián,name of a city on the eastern coast of Taiwan,1,6,1
聽說,tīngshuō,hear that,1,6,1
近,jìn,(Vs) near,1,6,2
方便,fāngbiàn,(Vs) convenient,1,6,2
這裡,zhèlǐ,"(N) here, this place",1,6,2
學生,xuéshēng,(N) student,1,6,2
在,zài,(Prep) at,1,6,2
東西,dōngxi,"(N) things, stuff",1,6,2
外面,wàimiàn,(N) outside,1,6,2
裡面,lǐmiàn,(N) inside,1,6,2
商店,shāngdiàn,"(N) store, shop",1,6,2
吃飯,chīfàn,(V-sep) to have a meal,1,6,2
宿舍,sùshè,(N) dormitory,1,6,2
樓,lóu,"(N) a storey, a floor",1,6,2
棟,dòng,(M) measure word for buildings,1,6,2
大樓,dàlóu,(N) a multi-storey building,1,6,2
圖書館,túshūguǎn,(N) library,1,6,2
旁邊,pángbiān,"(N) (by the) side, next to",1,6,2
教室,jiàoshì,(N) classroom,1,6,2
游泳池,yóuyǒngchí,(N) swimming pool,1,6,2
點,diǎn,(M) o'clock,1,7,1
唱歌,chànggē,(V-sep) to sing,1,7,1
分,fēn,(M) minute,1,7,1
見面,jiànmiàn,(V-sep) meet,1,7,1
從,cóng,(Prep) from,1,7,1
中午,zhōngwǔ,(N) noon,1,7,1
得,děi,"(Vaux) to have to, must",1,7,1
銀行,yínháng,(N) bank,1,7,1
時候,shíhòu,(N) when,1,7,1
後天,hòutiān,(N) the day after tomorrow,1,7,1
大安,Dà'ān,"Daan (name of a KTV named after a district in Taipei, where Shida is also located.)",1,7,1
下次,xiàcì,next time,1,7,1
沒問題,méi wèntí,No problem,1,7,1
對了,duìle,by the way,1,7,1
有空,yǒu kòng,to have free time,1,7,1
再見,zàijiàn,goodbye,1,7,1
在,zài,(Vs) progressive aspect verb; in the process of doing something,1,7,2
午餐,wǔcān,(N) lunch,1,7,2
剛,gāng,(Adv) just now,1,7,2
下課,xiàkè,(V-sep) to finish class,1,7,2
下午,xiàwǔ,(N) afternoon,1,7,2
半,bàn,(N) half,1,7,2
比賽,bǐsài,"(N) game, competition",1,7,2
結束,jiéshù,(Vp) to finish,1,7,2
最近,zuìjìn,"(N) recently, lately",1,7,2
忙,máng,(Vs) busy,1,7,2
每,měi,"(Det) every, each",1,7,2
天,tiān,(M) Measure word for day,1,7,2
書法,shūfǎ,(N) calligraphy,1,7,2
課,kè,(N) class,1,7,2
開始,kāishǐ,"(Vp) to begin, to start",1,7,2
字,zì,(N) character,1,7,2
寫,xiě,(V) to write,1,7,2
可以,kěyǐ,(Vaux) may (permission),1,7,2
問,wèn,(V) to ask,1,7,2
等一下,děng yíxià,later,1,7,2
有事,yǒu shì,to be busy; to be engaged,1,7,2
有意思,yǒu yìsi,"to be interesting, to be fun",1,7,2
坐,zuò,"(V) to take by, to travel by",1,8,1
火車,huǒchē,(N) train,1,8,1
跟,gēn,(Prep) with,1,8,1
玩,wán,(V) to have fun,1,8,1
怎麼,zěnme,(Adv) how,1,8,1
慢,màn,(Vs) slow,1,8,1
鐘頭,zhōngtóu,(N) hour,1,8,1
比較,bǐjiào,(Adv) (comparatively) more,1,8,1
快,kuài,(Vs) fast,1,8,1
車票,chē piào,"(N) (train, bus) ticket",1,8,1
非常,fēicháng,(Adv) very,1,8,1
但是,dànshì,"(Conj) but, however",1,8,1
又,yòu,(Adv) both...and,1,8,1
舒服,shūfú,(Vs) comfortable,1,8,1
站,zhàn,(N) station,1,8,1
或是,huòshì,(Conj) or,1,8,1
臺南,Táinán,a city in southwestern Taiwan,1,8,1
高鐵,Gāotiě,High Speed Rail (HSR),1,8,1
網路上,wǎnglùshàng,on the Internet,1,8,1
便利商店,biànlìshāngdiàn,convenient store,1,8,1
同學,tóngxué,(N) classmate,1,8,2
參觀,cānguān,(V) to visit (an institution),1,8,2
古代,gǔdài,(N) ancient times,1,8,2
騎,qí,(V) to ride,1,8,2
機車,jīchē,"(N) motorcycle, scooter",1,8,2
載,zài,"(V) to give someone a ride (on/ in a vehicle, e.g. motorcycle, bicycle or car)",1,8,2
捷運,jiéyùn,(N) Mass Rapid Transit (MRT),1,8,2
比,bǐ,(Prep) (more...) than,1,8,2
故宮博物院,GùgōngBówùyuàn,National Palace Museum,1,8,2
中國,Zhōngguó,China,1,8,2
公共汽車,gōnggòng qìchē,bus,1,8,2
不行,bù xíng,will not do,1,8,2
計程車,jìchéngchē,taxi,1,8,2
差不多,chābùduō,about the same,1,8,2
回國,huíguó,(V-sep) to return to one's country,1,9,1
打算,dǎsuàn,(Vaux) to plan to,1,9,1
電視,diànshì,(N) TV,1,9,1
影片,yǐngpiàn,(N) film,1,9,1
旅行,lǚxíng,(Vi) to travel,1,9,1
功課,gōngkè,(N) homework,1,9,1
出去,chūqù,(Vi) to go out,1,9,1
大概,dàgài,"(Adv) approximately, about, probably",1,9,1
放假,fàngjià,to have a holiday,1,9,1
下個星期,xiàge xīngqí,next week,1,9,1
有時候,yǒushíhòu,sometimes,1,9,1
多久,duō jiǔ,how long,1,9,1
臺東,Táidōng,name of one of the major cities on the southeastern coast of Taiwan,1,9,1
帶,dài,(V) to take,1,9,2
她,tā,"(N) she, her",1,9,2
還,hái,"(Adv) still, additionally",1,9,2
建議,jiànyì,(N) suggestion,1,9,2
夜市,yèshì,(N) night market,1,9,2
應該,yīnggāi,(Vaux) should,1,9,2
逛,guàng,"(V) to wander around , to look around",1,9,2
特別,tèbié,(Vs) special,1,9,2
茶館,cháguǎn,(N) tea house,1,9,2
決定,juédìng,(Vp) to decide,1,9,2
要是,yàoshì,(Conj) if,1,9,2
就,jiù,(Adv) then,1,9,2
貓空,Māokōng,name of a must-see place in Taipei to visit for fine tea and scenery,1,9,2
水果,shuǐguǒ,(N) fruit,1,10,1
黃色,huángsè,(N) yellow,1,10,1
芒果,mángguǒ,(N) mango,1,10,1
給,gěi,(V) to give,1,10,1
塊,kuài,"(M) measure word for pieces of food (e.g. meat, cake)",1,10,1
香,xiāng,(Vs) fragrant,1,10,1
甜,tián,(Vs) sweet (taste),1,10,1
紅色,hóngsè,(N) red,1,10,1
西瓜,xīguā,(N) watermelon,1,10,1
吧,ba,(Ptc) sentence-final particle for guessing,1,10,1
對,duì,"(Vs) correct, right",1,10,1
以前,yǐqián,(N) before,1,10,1
機會,jīhuì,(N) opportunity,1,10,1
請,qǐng,(V) to treat sb to sth,1,10,1
吃吃看,chīchīkàn,"to have a taste, try it, taste it",1,10,1
拍,pāi,(V) to take (pictures),1,10,2
笑,xiào,"(V) to laugh, to smile",1,10,2
開心,kāixīn,(Vs) happy,1,10,2
穿,chuān,"(V) to wear, to put on",1,10,2
衣服,yīfú,(N) clothes,1,10,2
旅館,lǚguǎn,(N) hotel,1,10,2
太太,tàitai,(N) wife,1,10,2
矮,ǎi,(Vs) short (height),1,10,2
高,gāo,(Vs) tall,1,10,2
弟弟,dìdi,(N) younger brother,1,10,2
乾淨,gānjìng,(Vs) clean,1,10,2
窗戶,chuānghù,(N) window,1,10,2
往,wǎng,"(Prep) toward, to",1,10,2
藍色,lánsè,(N) blue,1,10,2
因為,yīnwèi,(Conj) because,1,10,2
住,zhù,(V) to stay,1,10,2
上個月,shàngge yuè,last month,1,10,2
這些,zhèi xiē,these,1,10,2
租,zū,(V) to rent,1,11,1
房東,fángdōng,(N) landlord,1,11,1
客廳,kètīng,(N) living room,1,11,1
廚房,chúfáng,(N) kitchen,1,11,1
左邊,zuǒbiān,(N) left (side),1,11,1
右邊,yòubiān,(N) right (side),1,11,1
浴室,yùshì,(N) bathroom,1,11,1
超市,chāoshì,(N) supermarket,1,11,1
走路,zǒulù,(V-sep) to walk,1,11,1
分鐘,fēnzhōng,(M) measure word for minutes,1,11,1
就,jiù,"(Adv) only, merely",1,11,1
到,dào,(Vp) arrive,1,11,1
間,jiān,"(M) measure word for houses, rooms, etc",1,11,1
空,kōng,"(Vs) vacant, empty",1,11,1
房間,fángjiān,(N) room,1,11,1
套房,tàofáng,(N) suite,1,11,1
回去,huíqù,"(Vi) to go back, to return",1,11,1
想,xiǎng,(V) to think,1,11,1
再,zài,(Adv) and then,1,11,1
電話,diànhuà,(N) telephone,1,11,1
給,gěi,(Prep) to,1,11,1
林,lín,"Chinese last name, common in Taiwan",1,11,1
打電話,dǎ diànhuà,to make a phone call,1,11,1
喂,wéi,"(Ptc) a particle used in addressing people, especially over the phone",1,11,2
房租,fángzū,(N) rent (for a room or a house),1,11,2
已經,yǐjīng,(Adv) already,1,11,2
習慣,xíguàn,"(Vs) to get settled down, to get used to",1,11,2
問題,wèntí,"(N) problem, question",1,11,2
熱水器,rèshuǐqì,(N) water heater,1,11,2
好像,hǎoxiàng,"(Adv) to seem to be, to appear to be (often used to take the edge off of a comment)",1,11,2
會,huì,(Vaux) will,1,11,2
等,děng,(V) to wait for,1,11,2
那,nà,"(Ptc) then, in that case",1,11,2
裝,zhuāng,(V) to install,1,11,2
不過,búguò,"(Conj) however, but",1,11,2
付,fù,(V) to pay,1,11,2
收到,shōudào,to receive,1,11,2
不好意思,bùhǎo yìsi,sorry,1,11,2
沒關係,méi guānxi,Not a problem,1,11,2
有線電視,yǒuxiàn diànshì,cable TV,1,11,2
計畫,jìhuà,(V) to plan to,1,12,1
年,nián,(M) measure word for year,1,12,1
久,jiǔ,(Vs) long (time),1,12,1
時間,shíjiān,(N) time,1,12,1
先,xiān,(Adv) first,1,12,1
念,niàn,(V) to study,1,12,1
大學,dàxué,(N) university,1,12,1
需要,xūyào,(Vst) to need,1,12,1
花,huā,(V) to spend (time or money),1,12,1
獎學金,jiǎngxuéjīn,(N) scholarship,1,12,1
成績,chéngjī,(N) grades,1,12,1
學費,xuéfèi,(N) tuition,1,12,1
公司,gōngsī,(N) company,1,12,1
替,tì,"(Prep) for, on behalf of",1,12,1
希望,xīwàng,(Vst) to hope,1,12,1
以後,yǐhòu,(N) in the future,1,12,1
到,dào,(V) to go/ come to,1,12,1
上班,shàngbān,(V-sep) to go to work,1,12,1
念書,niànshū,(V-sep) to study,1,12,1
累,lèi,(Vs) tired,1,12,1
語言中心,yǔyán zhōngxīn,language center,1,12,1
加油,jiāyóu,keep up the good work,1,12,1
工作,gōngzuò,(Vi) to work,1,12,2
去年,qùnián,(N) last year,1,12,2
做,zuò,"(V) to do, to engage in",1,12,2
生意,shēngyì,(N) business,1,12,2
以後,yǐhòu,(N) afterwards,1,12,2
好,hǎo,(Vs) easy to,1,12,2
找,zhǎo,(V) to look for,1,12,2
工作,gōngzuò,"(N) job, work",1,12,2
這樣,zhè yàng,(N) this kind (of),1,12,2
國家,guójiā,(N) country,1,12,2
試,shì,(Vi) to try,1,12,2
難,nán,"(Vs) hard to, difficult to",1,12,2
那麼,nàme,(Ptc) then,1,12,2
再,zài,(Adv) again,1,12,2
試試看,shìshìkàn,"to give it a try, try and see what happens",1,12,2
生日,shēngrì,(N) birthday,1,13,1
快樂,Kuàilè,(Vs) happy,1,13,1
回來,huílái,(Vi) to come back,1,13,1
啊,à,(Ptc) a particle indicating a realization,1,13,1
怎麼,zěnme,(Adv) how come?,1,13,1
忘了,wàngle,(Vpt) to forget,1,13,1
記得,jìdé,(Vst) to remember,1,13,1
當然,dāngrán,"(Adv) certainly, of course",1,13,1
語言,yǔyán,(N) language,1,13,1
交換,jiāohuàn,(V) to exchange,1,13,1
那麼,nàme,(Adv) so (very),1,13,1
熱心,rèxīn,(Vs) with enthusiasm,1,13,1
西班牙文,Xībānyá wén,(N) the Spanish language,1,13,1
一樣,yíyàng,"(Vs) the same, alike",1,13,1
過,guò,(V) to celebrate,1,13,1
左右,zuǒyòu,(N) approximately,1,13,1
門口,ménkǒu,"(N) gate, entrance",1,13,1
西班牙,Xībānyá,Spain,1,13,1
生日快樂,Shēngrì Kuàilè,Happy Birthday,1,13,1
我就是,wǒ jiù shì,(said of self on the phone) This is s/he speaking,1,13,1
好久不見,hǎojiǔ bújiàn,long time no see,1,13,1
不必客氣,búbìkèqì,,1,13,1
太客氣,tài kèqì,That's very kind of you,1,13,1
禮物,lǐwù,"(N) gift, present",1,13,2
今年,jīnnián,(N) this year,1,13,2
訂,dìng,(V) to order (something in advance),1,13,2
了,le,(Ptc) verbal particle indicating a completed action,1,13,2
豬腳,zhūjiǎo,(N) pork knuckles,1,13,2
麵線,miànxiàn,(N) extra thin noodles,1,13,2
蛋,dàn,(N) egg,1,13,2
一點,yīdiǎn,"(Vs) a little, some",1,13,2
傳統,chuántǒng,"(N) tradition, customs",1,13,2
年輕,niánqīng,(Vs) young,1,13,2
蛋糕,dàngāo,(N) cake,1,13,2
對,duì,(Prep) to,1,13,2
祝,zhù,"(V) to wish (somebody happiness, good luck, etc.)",1,13,2
"哪裡,哪裡",nǎlǐ nǎlǐ,It's my pleasure. Don't mention it.,1,13,2
大部分,dà bùfèn,"most (of), mostly",1,13,2
萬事如意,wànshì rúyì,May everything go your way,1,13,2
心想事成,xīnxiǎng shìchéng,May all your wishes come true,1,13,2
天氣,tiānqì,(N) weather,1,14,1
冷,lěng,(Vs) cold,1,14,1
風,fēng,(N) wind,1,14,1
滑雪,huáxuě,(V-sep) to ski,1,14,1
春天,chūntiān,(N) spring (season),1,14,1
想,xiǎng,(Vst) to miss (someone),1,14,1
新年,xīnnián,(N) New Year,1,14,1
快,kuài,(Adv) soon,1,14,1
父母,fùmǔ,(N) parents,1,14,1
冬天,dōngtiān,(N) winter (season),1,14,1
明年,míngnián,(N) next year,1,14,1
秋天,qiūtiān,(N) autumn (season),1,14,1
紅葉,hóngyè,(N) red maple leaves,1,14,1
只,zhǐ,"(Adv) only, merely",1,14,1
玉山,Yùshān,"Yu Shan (Mountain Jade), tallest mountain in central Taiwan",1,14,1
紐約,Niǔyuē,New York,1,14,1
下雪,xiàxuě,to snow,1,14,1
十二月底,shíèryuèdǐ,the end of December,1,14,1
雨,yǔ,(N) rain,1,14,1
傘,sǎn,(N) umbrella,1,14,1
颱風,táifēng,(N) typhoon,1,14,1
要,yào,"(Adv) will, going to",1,14,1
夏天,xiàtiān,(N) summer (season),1,14,1
濕,shī,(Vs) wet,1,14,2
討厭,tǎoyàn,(Vs) annoying,1,14,2
新聞,xīnwén,(N) news,1,14,2
更,gèng,"(Adv) even (more, less, etc.)",1,14,2
大家,dàjiā,(N) everyone,1,14,2
小心,xiǎoxīn,"(Vs) to be careful, to take care",1,14,2
可怕,kěpà,(Vs) scary,1,14,2
停,tíng,(Vp) to stop,1,14,2
下雨,xiàyǔ,to rain,1,14,2
這次,zhè cì,this time,1,14,2
上次,shàng cì,last time,1,14,2
慢走,màn zǒu,Bye. Take care,1,14,2
醫生,yīshēng,(N) doctor,1,15,1
一直,yìzhí,"(Adv) continuously, all the way",1,15,1
流,liú,(V) to flow,1,15,1
鼻水,bíshuǐ,"(N) snot, nasal mucus, a running nose",1,15,1
頭,tóu,(N) head,1,15,1
痛,tòng,(Vs) painful,1,15,1
胃口,wèikǒu,(N) appetite,1,15,1
差,chā,"(Vs) poor, bad",1,15,1
喉嚨,hóulóng,(N) throat,1,15,1
發炎,fāyán,(Vp-sep) to be inflamed,1,15,1
生病,shēngbìng,(Vp-sep) to fall ill,1,15,1
發燒,fāshāo,(Vp-sep) to have a fever,1,15,1
感冒,gǎnmào,(Vp) to catch/have a cold,1,15,1
藥,yào,(N) medicine,1,15,1
藥局,yàojú,"(N) pharmacy, drug store",1,15,1
拿,ná,(V) to get,1,15,1
把,bǎ,(Ptc) disposal marker,1,15,1
水,shuǐ,(N) water,1,15,1
休息,xiūxí,(Vi) to take a rest,1,15,1
睡覺,shuìjiào,(V-sep) to sleep,1,15,1
早一點,zǎo yìdiǎn,a bit earlier,1,15,1
臉色,liǎnsè,"(N) a person's ""color"" (said of the face when healthy or sick, pleased or angry etc.)",1,15,2
難看,nánkàn,(Vs) not to look good,1,15,2
肚子,dùzi,"(N) stomach, abdomen",1,15,2
吐,tù,"(V) to throw up, to vomit",1,15,2
幾,jǐ,(N) (a) few,1,15,2
次,cì,"(M) measure word for times, occurrences",1,15,2
陪,péi,"(V) to go/stay with somebody, to accompany",1,15,2
看病,kànbìng,(V-sep) to see a doctor,1,15,2
健康,jiànkāng,(N) health,1,15,2
保險,bǎoxiǎn,(N) insurance,1,15,2
跟,gēn,(Prep) to,1,15,2
油,yóu,"(Vs) oily, greasy",1,15,2
冰,bīng,(Vs) icy,1,15,2
別,bié,(Adv) don't (used in imperatives),1,15,2
關心,guānxīn,(Vs) to be concerned about,1,15,2
包,bāo,"(M) measure word for bags, packages etc",1,15,2
睡,shuì,(Vi) to sleep,1,15,2
小時,xiǎoshí,(N) hour,1,15,2
怎麼了,zěnme le,What's wrong?,1,15,2
不用了,búyòng le,It's not necessary,1,15,2
健康中心,jiànkāng zhōngxīn,health center,1,15,2
回家,huíjiā,go home,1,15,2
最好,zuì hǎo,It would be best.../ (You) should,1,15,2
走,zǒu,(Vi) to get to,2,1,1
路人,lùrén,(N) someone; lit. a person on the street,2,1,1
幫忙,bāngmáng,(V-sep) to help,2,1,1
迷路,mílù,"(Vp-sep) to be lost, to have lost directions",2,1,1
下,xià,(Det) next,2,1,1
路口,lùkǒu,(N) intersection,2,1,1
段,duàn,(N) section,2,1,1
過,guò,"(V) to go past, to cross",2,1,1
第,dì,(Det) used to indicate ordinal numbers,2,1,1
紅綠燈,hónglǜdēng,(N) traffic light,2,1,1
告訴,gàosù,(V) to tell,2,1,1
提款機,tíkuǎnjī,(N) ATM machine,2,1,1
超商,chāo-shāng,(N) convenience store,2,1,1
應該,yīnggāi,(Vaux) should; ought to,2,1,1
郵局,yóujú,(N) post office,2,1,1
提,tí,(V) to withdraw (money),2,1,1
